rankingOfMovie	Year	votes	metascore	movieName
121	1921	121905	-1	The_Kid
173	1924	46967	-1	Sherlock_Jr.
172	1925	107737	-1	The_Gold_Rush
250	1926	88022	-1	The_General
249	1928	52264	-1	The_Passion_of_Joan_of_Arc
119	1931	152542	-1	M
82	1940	215863	-1	The_Great_Dictator
116	1948	157775	-1	Bicycle_Thieves
81	1950	213877	-1	Sunset_Blvd.
115	1952	74978	-1	Ikiru
167	1953	58792	-1	Tokyo_Story
80	1955	29836	-1	Pather_Panchali
78	1957	118882	-1	Witness_for_the_Prosecution
240	1957	47031	-1	Nights_of_Cabiria
238	1959	113069	-1	The_400_Blows
76	1963	40926	-1	High_and_Low
236	1966	51743	-1	Andrei_Rublev
106	1975	26538	-1	Dersu_Uzala
153	1978	32443	-1	Autumn_Sonata
228	1979	128582	-1	Stalker
99	1985	70608	-1	Come_and_See
214	1995	163350	-1	La_Haine
144	1996	68582	-1	The_Bandit
207	1997	49072	-1	Neon_Genesis_Evangelion:_The_End_of_Evangelion
133	2005	84131	-1	My_Father_and_My_Son
66	2007	183810	-1	Like_Stars_on_Earth
192	2009	270784	-1	Hachi:_A_Dog's_Tale
193	2009	172456	-1	Mary_and_Max
58	2016	175751	-1	Dangal
122	2018	85762	-1	Andhadhun
131	2019	44182	-1	Miracle_in_Cell_No._7
1	2021	163431	-1	Jai_Bhim
118	1941	427403	100	Citizen_Kane
51	1942	549646	100	Casablanca
50	1954	471860	100	Rear_Window
113	1958	387477	100	Vertigo
110	1962	283057	100	Lawrence_of_Arabia
3	1972	1732749	100	The_Godfather
225	1982	62011	100	Fanny_and_Alexander
53	1931	178296	99	City_Lights
114	1952	232106	99	Singin'_in_the_Rain
120	1927	168795	98	Metropolis
170	1948	121182	98	The_Treasure_of_the_Sierra_Madre
168	1950	162274	98	Rashomon
169	1950	127476	98	All_About_Eve
32	1954	333085	98	Seven_Samurai
112	1959	316258	98	North_by_Northwest
163	1959	257469	98	Some_Like_It_Hot
135	2006	645807	98	Pan's_Labyrinth
247	1939	304725	97	Gone_with_the_Wind
244	1949	167084	97	The_Third_Man
49	1960	640525	97	Psycho
77	1964	472667	97	Dr._Strangelove_or:_How_I_Learned_to_Stop_Worrying_and_Love_the_Bomb
52	1936	231995	96	Modern_Times
6	1957	742970	96	12_Angry_Men
237	1966	57755	96	The_Battle_of_Algiers
151	1985	121074	96	Ran
24	2001	708844	96	Spirited_Away
183	2013	672833	96	12_Years_a_Slave
21	2019	698173	96	Parasite
117	1944	151725	95	Double_Indemnity
95	1995	941103	95	Toy_Story
67	2008	1058382	95	WALLÂ·E
85	2011	235060	95	A_Separation
182	2011	666648	94	Inside_Out
111	1960	174676	94	The_Apartment
154	1976	774276	94	Taxi_Driver
74	1979	638706	94	Apocalypse_Now
46	1988	258230	94	Grave_of_the_Fireflies
9	1993	1286186	94	Schindler's_List
8	1994	1939304	94	Pulp_Fiction
7	2003	1737140	94	The_Lord_of_the_Rings:_The_Return_of_the_King
186	2015	449414	93	Spotlight
161	1961	118763	93	Yojimbo
134	2007	554523	93	There_Will_Be_Blood
234	1967	171897	92	Cool_Hand_Luke
156	1974	313579	92	Chinatown
221	1986	399645	92	Platoon
13	2001	1758145	92	The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring
136	2010	796770	92	Toy_Story_3
242	1954	150148	91	On_the_Waterfront
155	1975	523422	91	Monty_Python_and_the_Holy_Grail
25	1998	1313750	91	Saving_Private_Ryan
196	2007	917570	91	No_Country_for_Old_Men
79	1957	189658	90	Paths_of_Glory
239	1959	231193	90	Ben-Hur
15	1966	727922	90	The_Good,_the_Bad_and_the_Ugly
5	1974	1202401	90	The_Godfather:_Part_II
30	1977	1294390	90	Star_Wars:_Episode_IV_-_A_New_Hope
18	1990	1088677	90	Goodfellas
143	1997	560400	90	L.A._Confidential
209	1998	1007350	90	The_Truman_Show
203	2003	996746	90	Finding_Nemo
200	2004	251581	90	Before_Sunset
188	2015	944613	90	Mad_Max:_Fury_Road
54	2020	79390	90	Hamilton
33	1946	435268	89	It's_a_Wonderful_Life
233	1975	160689	89	Barry_Lyndon
75	1979	836215	89	Alien
152	1980	339747	89	Raging_Bull
89	2004	960761	89	Eternal_Sunshine_of_the_Spotless_Mind
68	2006	377066	89	The_Lives_of_Others
126	2012	91598	89	Gangs_of_Wasseypur
87	2020	113499	88	The_Father
164	1957	103622	88	Wild_Strawberries
